"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Bench Press (Barbell)","","",0,"warmup",40,10,"","",""
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Bench Press (Barbell)","","",1,"warmup",60,5,"","",""
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Bench Press (Barbell)","","",2,"normal",75,8,"","",8
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Bench Press (Barbell)","","",3,"normal",75,7,"","",8.5
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Bench Press (Barbell)","","",4,"normal",75,6,"","",9
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Overhead Press (Barbell)","","",0,"normal",45,8,"","",8
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Overhead Press (Barbell)","","",1,"normal",45,7,"","",8.5
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Triceps Pushdown (Cable)","","",0,"normal",30,12,"","",8
"Push Day","6 Jan 2026, 18:05","6 Jan 2026, 19:12","","Triceps Pushdown (Cable)","","",1,"normal",30,11,"","",8.5
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Deadlift (Barbell)","","",0,"warmup",60,5,"","",""
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Deadlift (Barbell)","","",1,"warmup",100,3,"","",""
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Deadlift (Barbell)","","",2,"normal",130,5,"","",8.5
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Deadlift (Barbell)","","",3,"normal",130,5,"","",9
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Lat Pulldown (Cable)","","",0,"normal",60,10,"","",8
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Lat Pulldown (Cable)","","",1,"normal",60,9,"","",8.5
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Bicep Curl (Dumbbell)","","",0,"normal",14,11,"","",8
"Pull Day","8 Jan 2026, 18:10","8 Jan 2026, 19:20","","Bicep Curl (Dumbbell)","","",1,"normal",14,10,"","",9
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Squat (Barbell)","","",0,"warmup",60,5,"","",""
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Squat (Barbell)","","",1,"warmup",90,3,"","",""
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Squat (Barbell)","","",2,"normal",110,6,"","",8.5
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Squat (Barbell)","","",3,"normal",110,6,"","",9
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Leg Press","","",0,"normal",180,12,"","",8
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Leg Press","","",1,"normal",180,11,"","",8.5
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Standing Calf Raise (Machine)","","",0,"normal",70,15,"","",8
"Leg Day","10 Jan 2026, 10:30","10 Jan 2026, 11:35","","Standing Calf Raise (Machine)","","",1,"normal",70,14,"","",8.5
